PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
870.881672,767.1053808,767.1053808,767.1053808,990.9186343,990.9186343,1077.441298,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.3545917,767.8333821,767.8333821,767.8333821,991.4567384,991.4567384,1078.026387,1192.208629,1192.208629,1054.097284,1054.097284,889.3702893
871.5910515,767.0013806,767.0013806,767.0013806,991.7257904,991.7257904,1078.318932,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
870.6452121,767.9373823,767.9373823,767.9373823,990.6495823,990.6495823,1077.148754,1192.370109,1192.370109,1054.240058,1054.240058,889.4907512
870.881672,767.0013806,767.0013806,767.0013806,990.9186343,990.9186343,1077.441298,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
871.1181318,767.6253817,767.6253817,767.6253817,991.1876864,991.1876864,1077.733843,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
870.4087523,767.4173813,767.4173813,767.4173813,990.3805303,990.3805303,1076.856209,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.1181318,767.4173813,767.4173813,767.4173813,991.1876864,991.1876864,1077.733843,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
872.0639713,767.5213815,767.5213815,767.5213815,992.2638945,992.2638945,1078.904021,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
871.8275115,767.3133811,767.3133811,767.3133811,991.9948425,991.9948425,1078.611476,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.1181318,767.5213815,767.5213815,767.5213815,991.1876864,991.1876864,1077.733843,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
871.8275115,767.209381,767.209381,767.209381,991.9948425,991.9948425,1078.611476,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.1181318,767.3133811,767.3133811,767.3133811,991.1876864,991.1876864,1077.733843,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.536891,767.5213815,767.5213815,767.5213815,992.8019985,992.8019985,1079.48911,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
871.3545917,767.6253817,767.6253817,767.6253817,991.4567384,991.4567384,1078.026387,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
871.8275115,767.5213815,767.5213815,767.5213815,991.9948425,991.9948425,1078.611476,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
871.3545917,767.5213815,767.5213815,767.5213815,991.4567384,991.4567384,1078.026387,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
